,username,rating,value,boardgame_id
0,1000games,N/A,Diary of a Wimpy Kid,2223
1,1000rpm,4,"I sigh inside when people want to play this.  Player eliminiation, goes on too long, could be playing a much better game, etc.",2223
2,1point21gigawatts,3,Meh.,2223
3,2018,7,Fantastic game once the rules are tweaked.,2223
4,20hz20khz,3,Luck,2223
5,22764636,5,no need to comment. Everybody knows UNO.,2223
6,4wallz,4,Fun but nothing special.,2223
7,6legsci,4,Church Store,2223
8,7ofAnn,N/A,"We taught the girls (3 and 5) how to play.  We play with open cards, but it works surprisingly well.",2223
9,832SPS,N/A,-,2223
10,93MadeGames,4.5,Do you play snoozo Uno?,2223
11,a100000001,N/A,played,2223
12,a2109m3018,10,UNO的變化非常多，但是一開始入手的遊戲規則可以非常簡單，我在教室裡帶3歲的孩子玩過極度簡單版，只有數字0-5，但一樣4種顏色都下去，讓幼兒先練習辨識數字和顏色，之後再開放到數字全加入，最後再逐步加入道具牌，是一款便宜、簡單又老少咸宜的桌遊。,2223
13,a2greg,6,Old parlor game from the 70's?  Fun for the family.,2223
14,aaa37,5,free,2223
15,aadrian13,6,Loved this game as a kid. Still willing to play it.,2223
16,aadrienns,1,"Bought it because i thought it was going to be fun(silly me).  Played it once, it was boring and painfully bad. watching grass grow is much more entertaining... It is still ""in the collection"" because i can't find it to throw out. it's somewhere in the house emanating bad vibes  ",2223
17,Aamb63,10,Love this classic.,2223
18,aaronday,N/A,Card Game Bag,2223
19,AaronPepo,6,Muy buen juego ideal para jugar con los amigos o en alguna fiesta. ,2223
20,Aarontu,4,"Light, fun, party card game.  Most people know how to play.  The ""you can only play a wild draw four when you have no other playable card"" rule can cause contention, as most people don't know about it and hate to lose a game over it. That, and all the weird house rules many people insist on using, make me not want to play this with people.  A discussion about what house rules to use before the game can make it enjoyable, though.",2223
21,abbeynormal,N/A,Classic.,2223
22,ABCafe,N/A,I10,2223
23,abhillz,N/A,Wild Life Edition!,2223
24,AbigailEMG,N/A,MJPR,2223
25,abirdie,8,"I mean, c'mon. Love a good cutthroat game of Uno.",2223
26,AbraxiS,8,"Excellent family game. Its one of the favorite games of my 4 year old son...in fact,now that i think of it, he wins a lot of times,wich is kind of embarassing to me...oh well  =)",2223
27,AbyssinianSon,4,I owe a lot to this game as it was a huge part of my childhood. Got it just for old times sake but really doesn't hold up to modern tabletop gaming imo. ,2223
28,Abyss_Raider,7,The classic card game of being the first to play your whole deck. Very easy but very fun.,2223
29,acatalan,5.5,Familiar Funny Game (FFG),2223
30,Accatitippi,4,"Easy to learn. Boring if you don't house rule the weirdest things while playing. That version would get a 6.5, the game itself a 4.",2223
31,aceraxon,1,"Hey, would you like to smell a turd?   No.   Hey, would you like to play Uno?   Where's that turd at?",2223
32,acolyte,2,"Yet another one of those horrible card games that plays you rather than the other way around.  A mindless way to pass the time, but not really a game.",2223
33,acrotide,5,2-10 players (Best: 4-6),2223
34,ActionGuide,N/A,Ferienspielkiste (normale Ausgabe),2223
35,adambonneruk,N/A,Purchased: Asda Cost: ~£10 Date ~2016,2223
36,AdamMcD,5,"Instead of buying Uno for $10, one could play 'Crazy Eights' (practically the same game) with a deck of Standard playing cards.  Harmless, but not fun either.",2223
37,adamolanna,5,semplice e adatto a tutti,2223
38,adamphipps11,5,2-10 Players Best: 4-6,2223
39,adamscott,2,"Boring, awful game.  I remember playing it as a kid.  Not sure I enjoyed it much then.  I really hope I never have to play this again.",2223
40,adebisi,4,"As a game for relatively young kids UNO is great. It will teach you numbers and some basic tactics (e.g. hit the player who is winning and how to read a players hand). For grownups, UNO offers very little but past time activity. Choices are tactical and you really cannot help it too much if you pick up bad cards.  The biggest problem of the game is that it can go on forever. 10 minutes per round is still ok, but any longer than that will start to feel rather tedious and repetitive.",2223
41,adel9591,2,Slightly more of a game than phase 10. Rated because I need a baseline for other ratings and I needed a 2 rating.,2223
42,AdlerCiv,N/A,Sleeved with Arcane Tinmen - Medium - 108 cards,2223
43,adlingtont,6,#GeekSort-Exclude,2223
44,AdMan2015,N/A,2-10,2223
45,Admiral Fisher,3,"Ah shucks, it's not that great, is it?  But maybe not that bad either.  Still, almost everyone's played it and most relatives will play it for a bit.",2223
46,admiral142,7,"Kids, Family",2223
47,AdmiralCrunch,N/A,(B&L Own) I have never cared for this game. Easy to screw over other players.,2223
48,Admiral_Otto,3.5,Meh.,2223
49,AdmJedi,N/A,Had it for years,2223
50,adobemoonlight,6.5,"Used to play this as a party game and according to OUR own rules.  Good party game, but not as interested as I was when this first came out.  Too many other REALLY GOOD games out there now! ",2223
51,adrim,10,Ratings based on my daughter's enjoyment with this game.  Rating 10 -> @ 5 years old - we must play this with her almost every day Rating 10 -> @ 6 years old Rating 9  -> @ 7 years old ,2223
52,ADuBois877,10,"When we play Uno, we play to COMPETE.  It's a battle game at our house.",2223
53,Adwak1,7,"who doesn't own a copy of UNO, great for kids, easy to understand and everyone loves skip, reverse, skip, draw four combo when that one person thinks they are going to go out. a camping, travel bag must",2223
54,Aecios,4,Juego piscinero,2223
