,username,rating,value,boardgame_id,lang,aspect_luck,aspect_luck_label,aspect_luck_score,aspect_luck_mapped,aspect_luck_mapped2,aspect_bookkeeping,aspect_bookkeeping_label,aspect_bookkeeping_score,aspect_bookkeeping_mapped,aspect_bookkeeping_mapped2,aspect_downtime,aspect_downtime_label,aspect_downtime_score,aspect_downtime_mapped,aspect_downtime_mapped2,aspect_interaction,aspect_interaction_label,aspect_interaction_score,aspect_interaction_mapped,aspect_interaction_mapped2,aspect_bash the leader,aspect_bash the leader_label,aspect_bash the leader_score,aspect_bash the leader_mapped,aspect_bash the leader_mapped2,aspect_complicated,aspect_complicated_label,aspect_complicated_score,aspect_complicated_mapped,aspect_complicated_mapped2,aspect_complex,aspect_complex_label,aspect_complex_score,aspect_complex_mapped,aspect_complex_mapped2
1,1000rpm,4,"I sigh inside when people want to play this.  Player eliminiation, goes on too long, could be playing a much better game, etc.",2223,en,"{'label': 'Negative', 'score': 0.6868708729743958}",Negative,0.6868708729743958,-1,-0.6868708729743958,"{'label': 'Neutral', 'score': 0.512516975402832}",Neutral,0.512516975402832,0,0.0,"{'label': 'Negative', 'score': 0.8113783001899719}",Negative,0.8113783001899719,-1,-0.8113783001899719,"{'label': 'Negative', 'score': 0.9394707083702087}",Negative,0.9394707083702087,-1,-0.9394707083702087,"{'label': 'Negative', 'score': 0.8429378271102905}",Negative,0.8429378271102905,-1,-0.8429378271102905,"{'label': 'Negative', 'score': 0.9783521890640259}",Negative,0.9783521890640259,-1,-0.9783521890640259,"{'label': 'Negative', 'score': 0.8265002965927124}",Negative,0.8265002965927124,-1,-0.8265002965927124
3,2018,7,Fantastic game once the rules are tweaked.,2223,en,"{'label': 'Neutral', 'score': 0.6839365363121033}",Neutral,0.6839365363121033,0,0.0,"{'label': 'Neutral', 'score': 0.9567168354988098}",Neutral,0.9567168354988098,0,0.0,"{'label': 'Neutral', 'score': 0.6800455451011658}",Neutral,0.6800455451011658,0,0.0,"{'label': 'Neutral', 'score': 0.813875138759613}",Neutral,0.813875138759613,0,0.0,"{'label': 'Neutral', 'score': 0.5505954027175903}",Neutral,0.5505954027175903,0,0.0,"{'label': 'Negative', 'score': 0.850204586982727}",Negative,0.850204586982727,-1,-0.850204586982727,"{'label': 'Neutral', 'score': 0.6423473358154297}",Neutral,0.6423473358154297,0,0.0
5,22764636,5,no need to comment. Everybody knows UNO.,2223,en,"{'label': 'Neutral', 'score': 0.6319619417190552}",Neutral,0.6319619417190552,0,0.0,"{'label': 'Neutral', 'score': 0.8414991497993469}",Neutral,0.8414991497993469,0,0.0,"{'label': 'Neutral', 'score': 0.7262711524963379}",Neutral,0.7262711524963379,0,0.0,"{'label': 'Neutral', 'score': 0.6726759672164917}",Neutral,0.6726759672164917,0,0.0,"{'label': 'Neutral', 'score': 0.679253339767456}",Neutral,0.679253339767456,0,0.0,"{'label': 'Negative', 'score': 0.8755385875701904}",Negative,0.8755385875701904,-1,-0.8755385875701904,"{'label': 'Negative', 'score': 0.6829942464828491}",Negative,0.6829942464828491,-1,-0.6829942464828491
6,4wallz,4,Fun but nothing special.,2223,en,"{'label': 'Neutral', 'score': 0.9495825171470642}",Neutral,0.9495825171470642,0,0.0,"{'label': 'Neutral', 'score': 0.954216718673706}",Neutral,0.954216718673706,0,0.0,"{'label': 'Neutral', 'score': 0.9300951361656189}",Neutral,0.9300951361656189,0,0.0,"{'label': 'Neutral', 'score': 0.9200438857078552}",Neutral,0.9200438857078552,0,0.0,"{'label': 'Neutral', 'score': 0.8988618850708008}",Neutral,0.8988618850708008,0,0.0,"{'label': 'Neutral', 'score': 0.8350481390953064}",Neutral,0.8350481390953064,0,0.0,"{'label': 'Neutral', 'score': 0.9138848185539246}",Neutral,0.9138848185539246,0,0.0
8,7ofAnn,N/A,"We taught the girls (3 and 5) how to play.  We play with open cards, but it works surprisingly well.",2223,en,"{'label': 'Positive', 'score': 0.6544122695922852}",Positive,0.6544122695922852,1,0.6544122695922852,"{'label': 'Neutral', 'score': 0.6888629198074341}",Neutral,0.6888629198074341,0,0.0,"{'label': 'Neutral', 'score': 0.55269855260849}",Neutral,0.55269855260849,0,0.0,"{'label': 'Neutral', 'score': 0.5152773261070251}",Neutral,0.5152773261070251,0,0.0,"{'label': 'Positive', 'score': 0.4339390695095062}",Positive,0.4339390695095062,1,0.4339390695095062,"{'label': 'Negative', 'score': 0.826711118221283}",Negative,0.826711118221283,-1,-0.826711118221283,"{'label': 'Neutral', 'score': 0.5347391366958618}",Neutral,0.5347391366958618,0,0.0
10,93MadeGames,4.5,Do you play snoozo Uno?,2223,en,"{'label': 'Neutral', 'score': 0.8398512601852417}",Neutral,0.8398512601852417,0,0.0,"{'label': 'Neutral', 'score': 0.9956074357032776}",Neutral,0.9956074357032776,0,0.0,"{'label': 'Neutral', 'score': 0.9512732625007629}",Neutral,0.9512732625007629,0,0.0,"{'label': 'Neutral', 'score': 0.9615505933761597}",Neutral,0.9615505933761597,0,0.0,"{'label': 'Neutral', 'score': 0.6343648433685303}",Neutral,0.6343648433685303,0,0.0,"{'label': 'Negative', 'score': 0.5976160764694214}",Negative,0.5976160764694214,-1,-0.5976160764694214,"{'label': 'Neutral', 'score': 0.9796345829963684}",Neutral,0.9796345829963684,0,0.0
13,a2greg,6,Old parlor game from the 70's?  Fun for the family.,2223,en,"{'label': 'Positive', 'score': 0.7367619872093201}",Positive,0.7367619872093201,1,0.7367619872093201,"{'label': 'Neutral', 'score': 0.6980924010276794}",Neutral,0.6980924010276794,0,0.0,"{'label': 'Positive', 'score': 0.9136325716972351}",Positive,0.9136325716972351,1,0.9136325716972351,"{'label': 'Positive', 'score': 0.9671238660812378}",Positive,0.9671238660812378,1,0.9671238660812378,"{'label': 'Positive', 'score': 0.8459009528160095}",Positive,0.8459009528160095,1,0.8459009528160095,"{'label': 'Positive', 'score': 0.6398941874504089}",Positive,0.6398941874504089,1,0.6398941874504089,"{'label': 'Positive', 'score': 0.8301266431808472}",Positive,0.8301266431808472,1,0.8301266431808472
15,aadrian13,6,Loved this game as a kid. Still willing to play it.,2223,en,"{'label': 'Positive', 'score': 0.5497044324874878}",Positive,0.5497044324874878,1,0.5497044324874878,"{'label': 'Neutral', 'score': 0.8722965121269226}",Neutral,0.8722965121269226,0,0.0,"{'label': 'Positive', 'score': 0.8214874267578125}",Positive,0.8214874267578125,1,0.8214874267578125,"{'label': 'Positive', 'score': 0.8103441596031189}",Positive,0.8103441596031189,1,0.8103441596031189,"{'label': 'Positive', 'score': 0.8210439682006836}",Positive,0.8210439682006836,1,0.8210439682006836,"{'label': 'Negative', 'score': 0.9146687388420105}",Negative,0.9146687388420105,-1,-0.9146687388420105,"{'label': 'Negative', 'score': 0.57985520362854}",Negative,0.57985520362854,-1,-0.57985520362854
16,aadrienns,1,"Bought it because i thought it was going to be fun(silly me).  Played it once, it was boring and painfully bad. watching grass grow is much more entertaining... It is still ""in the collection"" because i can't find it to throw out. it's somewhere in the house emanating bad vibes  ",2223,en,"{'label': 'Negative', 'score': 0.8540181517601013}",Negative,0.8540181517601013,-1,-0.8540181517601013,"{'label': 'Negative', 'score': 0.8839083313941956}",Negative,0.8839083313941956,-1,-0.8839083313941956,"{'label': 'Negative', 'score': 0.8814683556556702}",Negative,0.8814683556556702,-1,-0.8814683556556702,"{'label': 'Negative', 'score': 0.8943700790405273}",Negative,0.8943700790405273,-1,-0.8943700790405273,"{'label': 'Negative', 'score': 0.8776880502700806}",Negative,0.8776880502700806,-1,-0.8776880502700806,"{'label': 'Negative', 'score': 0.9055432677268982}",Negative,0.9055432677268982,-1,-0.9055432677268982,"{'label': 'Negative', 'score': 0.8970674872398376}",Negative,0.8970674872398376,-1,-0.8970674872398376
20,Aarontu,4,"Light, fun, party card game.  Most people know how to play.  The ""you can only play a wild draw four when you have no other playable card"" rule can cause contention, as most people don't know about it and hate to lose a game over it. That, and all the weird house rules many people insist on using, make me not want to play this with people.  A discussion about what house rules to use before the game can make it enjoyable, though.",2223,en,"{'label': 'Positive', 'score': 0.7444806098937988}",Positive,0.7444806098937988,1,0.7444806098937988,"{'label': 'Positive', 'score': 0.6826385855674744}",Positive,0.6826385855674744,1,0.6826385855674744,"{'label': 'Positive', 'score': 0.7099940180778503}",Positive,0.7099940180778503,1,0.7099940180778503,"{'label': 'Positive', 'score': 0.6898694038391113}",Positive,0.6898694038391113,1,0.6898694038391113,"{'label': 'Positive', 'score': 0.5602034330368042}",Positive,0.5602034330368042,1,0.5602034330368042,"{'label': 'Negative', 'score': 0.7313864231109619}",Negative,0.7313864231109619,-1,-0.7313864231109619,"{'label': 'Negative', 'score': 0.7181033492088318}",Negative,0.7181033492088318,-1,-0.7181033492088318
